Date,Time,Source Port,Destination Port,Packet Length,Malware Indicators,Anomaly Scores,Alerts/Warnings,Proxy Information,Firewall Logs,IDS/IPS Alerts,Search Engine,OS,Packet Type_Data,Protocol_TCP,Protocol_UDP,Action Taken_Ignored,Action Taken_Logged,Severity Level_Low,Severity Level_Medium,Attack Type_Intrusion,Attack Type_Malware,Traffic Type_FTP,Traffic Type_HTTP,Log Source_Server
2023-05-30,06:33:58,31225,17616,503,1.0,28.67,0.0,1,1.0,0.0,MSIE,Windows,1,0,0,0,1,1,0,0,1,0,1,1
2020-08-26,07:08:30,17245,48166,1174,1.0,51.5,0.0,0,1.0,0.0,MSIE,Windows,1,0,0,0,0,1,0,0,1,0,1,0
2022-11-13,08:23:25,16811,53600,306,1.0,87.42,1.0,1,1.0,1.0,MSIE,Windows,0,0,1,1,0,1,0,0,0,0,1,0
2023-07-02,10:38:46,20018,32534,385,0.0,15.79,1.0,0,0.0,1.0,Firefox,macOS,1,0,1,0,0,0,1,0,1,0,1,0
2023-07-16,13:11:07,6131,26646,1462,0.0,0.52,1.0,1,0.0,1.0,MSIE,Windows,1,1,0,0,0,1,0,0,0,0,0,0
2022-10-28,13:14:27,17430,52805,1423,0.0,5.76,0.0,0,0.0,0.0,Opera,Linux,1,0,1,0,1,0,1,0,1,0,1,1
2022-05-16,17:55:43,26562,17416,379,0.0,31.55,0.0,0,1.0,0.0,Opera,Linux,1,1,0,1,0,0,0,0,0,0,0,1
2023-02-12,07:13:17,34489,20396,1022,1.0,54.05,1.0,1,1.0,1.0,Chrome,macOS,1,0,0,0,1,0,0,1,0,0,0,0
2023-06-27,11:02:56,56296,20857,1281,1.0,56.34,1.0,0,1.0,1.0,Chrome,macOS,0,1,0,0,0,0,0,1,0,1,0,1
2021-08-15,22:29:04,37918,50039,224,0.0,16.51,1.0,1,0.0,0.0,Safari,Windows,1,0,1,0,0,0,1,0,1,0,1,1
2022-07-20,13:28:50,35538,35006,661,0.0,24.91,1.0,1,0.0,0.0,Safari,iOS,1,0,0,1,0,0,1,0,1,0,1,1
2022-06-26,15:15:50,10903,36817,281,0.0,86.07,0.0,0,0.0,0.0,Opera,Linux,0,1,0,1,0,1,0,0,1,0,1,0
2020-09-30,21:35:31,53471,38048,64,0.0,74.2,1.0,0,1.0,1.0,Opera,Windows,0,0,0,0,0,0,1,1,0,0,0,1
2021-01-13,02:30:18,43729,10845,1341,0.0,62.14,0.0,1,0.0,0.0,MSIE,Windows,1,0,0,1,0,1,0,0,1,0,1,0
2023-02-01,13:17:17,47795,35243,913,0.0,72.65,1.0,1,0.0,0.0,Firefox,Linux,1,0,1,0,1,0,0,0,1,0,0,0
2023-09-15,20:35:21,24912,21176,425,0.0,91.56,1.0,0,1.0,0.0,Opera,Linux,1,1,0,0,1,0,1,1,0,0,0,0
2023-04-18,16:46:46,39934,5259,838,0.0,43.83,1.0,0,1.0,0.0,Opera,Windows,0,1,0,1,0,0,0,0,0,0,1,1
2023-02-21,07:02:55,16513,50583,969,0.0,40.46,0.0,1,1.0,1.0,Chrome,Linux,1,1,0,0,1,1,0,0,0,0,1,0
